time,open,high,low,close,volume,oi,funding
1774460700000.0,646.13,646.53,645.93,646.05,414.99,509222.9,0.0
1774461000000.0,646.06,646.42,645.46,645.52,1351.06,509222.9,0.0
1774461300000.0,645.52,645.97,645.21,645.58,1615.49,509222.9,0.0
1774461600000.0,645.57,645.77,645.15,645.6,1085.61,509222.9,0.0
1774461900000.0,645.59,646.38,645.17,645.2,1866.7,509222.9,0.0
1774462200000.0,645.2,645.62,645.17,645.38,1273.47,509222.9,0.0
1774462500000.0,645.38,646.26,645.38,645.87,1557.9,509222.9,0.0
1774462800000.0,645.87,646.83,645.86,646.41,877.59,509222.9,0.0
1774463100000.0,646.4,646.57,645.73,645.95,711.1,509222.9,0.0
1774463400000.0,645.95,646.12,645.49,645.71,462.9,509222.9,0.0
1774463700000.0,645.72,645.87,645.0,645.2,1083.91,509222.9,0.0
1774464000000.0,645.2,645.2,644.61,644.79,2778.94,509222.9,0.0
1774464300000.0,644.79,645.35,644.76,644.97,649.39,509222.9,0.0
1774464600000.0,644.98,645.54,644.92,645.54,475.5,509222.9,0.0
1774464900000.0,645.54,645.54,644.26,645.52,1672.21,509222.9,0.0
1774465200000.0,645.51,647.13,645.25,647.02,1785.42,509222.9,0.0
1774465500000.0,647.03,647.23,646.42,646.69,1491.7,509222.9,0.0
1774465800000.0,646.69,646.95,646.11,646.76,2069.24,509222.9,0.0
1774466100000.0,646.76,647.0,646.48,646.57,567.01,509222.9,0.0
1774466400000.0,646.57,647.17,646.47,647.08,498.72,509222.9,0.0
1774466700000.0,647.08,647.27,646.58,646.86,535.65,509222.9,0.0
1774467000000.0,646.86,646.89,646.06,646.42,435.33,509222.9,0.0
1774467300000.0,646.41,646.9,645.88,646.9,476.02,509222.9,0.0
1774467600000.0,646.89,647.5,646.39,646.4,726.68,509222.9,0.0
1774467900000.0,646.41,646.71,646.01,646.46,393.64,509222.9,0.0
1774468200000.0,646.46,646.96,646.13,646.17,293.63,509222.9,0.0
1774468500000.0,646.18,646.28,645.26,646.27,1085.42,509222.9,0.0
1774468800000.0,646.28,646.33,645.33,645.34,862.02,509222.9,0.0
1774469100000.0,645.34,645.52,644.56,644.84,2137.69,509222.9,0.0
1774469400000.0,644.84,645.05,644.62,644.89,586.11,509222.9,0.0
1774469700000.0,644.89,645.35,644.78,645.33,528.01,509222.9,0.0
1774470000000.0,645.33,645.38,644.65,644.7,408.58,509222.9,0.0
1774470300000.0,644.7,645.16,644.28,644.86,898.34,509222.9,0.0
1774470600000.0,644.86,644.98,644.48,644.8,525.1,509222.9,0.0
1774470900000.0,644.79,645.55,644.69,645.54,367.01,509222.9,0.0
1774471200000.0,645.55,646.0,645.13,646.0,529.4,509222.9,0.0
1774471500000.0,646.0,646.47,645.85,646.45,970.15,509222.9,0.0
1774471800000.0,646.45,646.95,646.45,646.89,695.46,509222.9,0.0
1774472100000.0,646.89,646.99,646.75,646.9,385.77,509222.9,0.0
1774472400000.0,646.91,647.14,646.6,647.14,827.83,509222.9,0.0
1774472700000.0,647.13,647.61,646.74,647.61,744.4,509222.9,0.0
1774473000000.0,647.61,648.88,647.61,648.05,2355.23,509222.9,0.0
1774473300000.0,648.05,648.2,647.63,647.92,578.19,509222.9,0.0
1774473600000.0,647.92,648.04,647.3,647.51,447.75,509222.9,0.0
1774473900000.0,647.51,647.51,646.72,646.96,2225.38,509222.9,0.0
1774474200000.0,646.96,647.29,646.42,647.16,1532.01,509222.9,0.0
1774474500000.0,647.16,647.7,647.15,647.7,357.69,509222.9,0.0
1774474800000.0,647.7,647.77,647.4,647.41,731.98,509222.9,0.0
1774475100000.0,647.41,647.64,646.9,646.9,316.53,509222.9,0.0
1774475400000.0,646.9,647.22,646.9,647.18,351.69,509222.9,0.0
1774475700000.0,647.18,647.4,647.14,647.36,275.17,509222.9,0.0
1774476000000.0,647.36,648.26,647.24,647.76,1041.23,509222.9,0.0
1774476300000.0,647.75,647.75,646.42,646.42,1209.64,509222.9,0.0
1774476600000.0,646.42,646.81,646.35,646.42,690.71,509222.9,0.0
1774476900000.0,646.41,646.6,646.0,646.49,623.29,509222.9,0.0
1774477200000.0,646.5,646.65,646.29,646.47,369.63,509222.9,0.0
1774477500000.0,646.47,646.78,646.47,646.7,267.65,509222.9,0.0
1774477800000.0,646.69,648.66,646.68,648.49,2130.67,509222.9,0.0
1774478100000.0,648.5,649.04,648.05,648.17,1212.8,509222.9,0.0
1774478400000.0,648.18,650.44,648.17,649.02,3079.88,509222.9,0.0
1774478700000.0,649.03,649.53,648.88,649.06,695.86,509222.9,0.0
1774479000000.0,649.06,649.2,648.73,648.95,603.68,509222.9,0.0
1774479300000.0,648.95,649.3,648.81,649.17,350.27,509222.9,0.0
1774479600000.0,649.17,649.24,648.84,649.02,614.21,509222.9,0.0
1774479900000.0,649.03,649.18,648.76,649.01,248.71,509222.9,0.0
1774480200000.0,649.0,649.12,648.32,648.47,1884.39,509222.9,0.0
1774480500000.0,648.46,648.46,647.85,648.0,526.71,509222.9,0.0
1774480800000.0,648.0,648.36,647.81,648.29,480.31,509222.9,0.0
1774481100000.0,648.29,648.7,647.77,647.91,628.19,509222.9,0.0
1774481400000.0,647.91,648.22,647.68,647.84,593.92,509222.9,0.0
1774481700000.0,647.83,648.09,647.51,647.51,606.9,509222.9,0.0
1774482000000.0,647.52,647.52,647.04,647.17,616.75,509222.9,0.0
1774482300000.0,647.17,647.22,646.84,647.04,715.57,509222.9,0.0
1774482600000.0,647.05,647.91,647.05,647.9,431.19,509222.9,0.0
1774482900000.0,647.9,647.91,647.69,647.85,237.72,509222.9,0.0
1774483200000.0,647.84,648.75,647.8,648.17,2381.21,509222.9,0.0
1774483500000.0,648.17,648.43,647.27,647.27,975.06,509222.9,0.0
1774483800000.0,647.27,647.56,647.0,647.56,928.96,509222.9,0.0
1774484100000.0,647.56,648.52,647.31,647.31,960.13,509222.9,0.0
1774484400000.0,647.32,647.64,647.17,647.58,491.87,509222.9,0.0
1774484700000.0,647.57,647.59,647.11,647.56,314.69,509222.9,0.0
1774485000000.0,647.55,647.91,647.32,647.54,543.14,509222.9,0.0
1774485300000.0,647.55,648.1,647.55,647.63,445.11,509222.9,0.0
1774485600000.0,647.64,647.8,647.3,647.59,698.94,509222.9,0.0
1774485900000.0,647.58,648.37,647.51,648.12,723.95,509222.9,0.0
1774486200000.0,648.13,648.13,646.79,646.82,823.27,509222.9,0.0
1774486500000.0,646.83,647.41,646.36,647.34,784.62,509222.9,0.0
1774486800000.0,647.34,647.94,647.15,647.3,765.46,509222.9,0.0
1774487100000.0,647.3,647.35,646.61,646.88,638.15,509222.9,0.0
1774487400000.0,646.89,647.03,646.6,646.83,407.41,509222.9,0.0
1774487700000.0,646.83,646.83,645.88,646.4,1057.54,509222.9,0.0
1774488000000.0,646.39,647.0,646.36,646.96,346.55,509222.9,0.0
1774488300000.0,646.96,647.77,646.87,647.29,625.43,509222.9,0.0
1774488600000.0,647.28,647.91,647.23,647.35,603.48,509222.9,0.0
1774488900000.0,647.34,647.52,647.0,647.31,590.4,509222.9,0.0
1774489200000.0,647.31,647.45,646.54,646.71,616.07,509222.9,0.0
1774489500000.0,646.7,646.86,646.42,646.43,562.93,509222.9,0.0
1774489800000.0,646.42,646.79,646.17,646.72,539.46,509222.9,0.0
1774490100000.0,646.71,647.08,646.48,646.71,329.53,509222.9,0.0
1774490400000.0,646.71,646.84,646.34,646.54,432.89,509222.9,0.0
1774490700000.0,646.55,646.62,645.31,645.69,1606.56,509222.9,0.0
1774491000000.0,645.69,645.96,645.2,645.55,794.57,509222.9,0.0
1774491300000.0,645.55,645.59,644.47,644.83,1755.11,509222.9,0.0
1774491600000.0,644.82,645.23,644.53,644.77,1108.49,509222.9,0.0
1774491900000.0,644.78,645.3,644.78,644.84,580.93,509222.9,0.0
1774492200000.0,644.83,644.83,642.85,643.78,3252.06,509222.9,0.0
1774492500000.0,643.79,643.84,642.66,643.1,2056.31,509222.9,0.0
1774492800000.0,643.11,643.77,643.1,643.52,867.48,509222.9,0.0
1774493100000.0,643.52,643.94,643.52,643.81,616.91,509222.9,0.0
1774493400000.0,643.81,643.87,643.44,643.65,393.14,509222.9,0.0
1774493700000.0,643.65,643.93,643.52,643.74,685.64,509222.9,0.0
1774494000000.0,643.74,643.74,642.26,642.44,1933.53,509222.9,0.0
1774494300000.0,642.43,642.82,642.17,642.78,1464.02,509222.9,0.0
1774494600000.0,642.79,643.75,642.51,643.75,1353.11,509222.9,0.0
1774494900000.0,643.75,643.75,642.65,642.66,950.57,509222.9,0.0
1774495200000.0,642.65,642.8,641.61,641.94,3092.76,509222.9,0.0
1774495500000.0,641.93,642.72,641.43,641.61,2694.01,509222.9,0.0
1774495800000.0,641.61,642.3,641.61,642.18,923.14,509222.9,0.0
1774496100000.0,642.17,643.03,642.17,642.92,984.53,509222.9,0.0
1774496400000.0,642.92,643.23,642.67,642.68,542.14,509222.9,0.0
1774496700000.0,642.68,643.05,642.68,642.8,649.57,509222.9,0.0
1774497000000.0,642.8,643.37,642.67,643.25,819.71,509222.9,0.0
1774497300000.0,643.24,643.44,642.89,643.08,747.4,509222.9,0.0
1774497600000.0,643.1,643.1,642.1,642.1,2010.25,509222.9,0.0
1774497900000.0,642.1,642.46,641.83,642.04,1568.81,509222.9,0.0
1774498200000.0,642.04,642.26,641.45,641.54,1244.88,509222.9,0.0
1774498500000.0,641.54,641.64,641.28,641.49,749.89,509222.9,0.0
1774498800000.0,641.49,641.95,641.49,641.73,419.37,509222.9,0.0
1774499100000.0,641.73,642.61,641.73,642.6,666.06,509222.9,0.0
1774499400000.0,642.59,642.98,642.48,642.75,688.36,509222.9,0.0
1774499700000.0,642.74,643.42,642.74,643.34,761.41,509222.9,0.0
1774500000000.0,643.35,643.41,642.99,643.04,1146.6,509222.9,0.0
1774500300000.0,643.03,643.43,642.99,643.34,562.28,509222.9,0.0
1774500600000.0,643.35,643.35,642.75,642.75,543.98,509222.9,0.0
1774500900000.0,642.75,642.75,642.25,642.38,726.5,509222.9,0.0
1774501200000.0,642.38,642.57,642.22,642.4,580.38,509222.9,0.0
1774501500000.0,642.4,642.4,640.51,640.7,2728.08,509222.9,0.0
1774501800000.0,640.7,640.7,639.38,639.79,5692.72,509222.9,0.0
1774502100000.0,639.78,639.84,639.08,639.45,3101.06,509222.9,0.0
1774502400000.0,639.45,639.86,639.31,639.46,1317.73,509222.9,0.0
1774502700000.0,639.47,639.82,638.6,639.55,3149.95,509222.9,0.0
1774503000000.0,639.55,639.69,639.04,639.44,2013.47,509222.9,0.0
1774503300000.0,639.44,639.86,639.03,639.2,876.75,509222.9,0.0
1774503600000.0,639.2,639.6,637.03,637.32,5314.4,509222.9,0.0
1774503900000.0,637.33,637.73,636.36,637.23,5425.67,509222.9,0.0
1774504200000.0,637.22,637.22,635.21,635.34,4247.91,509222.9,0.0
1774504500000.0,635.33,635.46,634.54,635.24,3786.73,509222.9,0.0
1774504800000.0,635.23,635.72,634.0,635.38,10491.62,509222.9,0.0
1774505100000.0,635.37,636.06,634.79,635.8,2770.92,509222.9,0.0
1774505400000.0,635.8,635.81,634.73,635.38,4123.58,509222.9,0.0
1774505700000.0,635.37,635.73,635.0,635.71,1658.82,509222.9,0.0
1774506000000.0,635.72,635.72,634.19,634.31,1879.23,509222.9,0.0
1774506300000.0,634.34,634.78,633.37,634.78,3204.8,509222.9,0.0
1774506600000.0,634.78,635.15,634.44,634.54,1635.25,509222.9,0.0
1774506900000.0,634.54,634.78,634.28,634.53,969.95,509222.9,0.0
1774507200000.0,634.52,634.78,634.28,634.44,738.68,509222.9,0.0
1774507500000.0,634.44,635.09,634.28,635.08,989.21,509222.9,0.0
1774507800000.0,635.09,635.34,634.82,635.07,1233.5,509222.9,0.0
1774508100000.0,635.08,635.64,635.08,635.27,1262.85,509222.9,0.0
1774508400000.0,635.27,635.9,634.88,635.51,1396.22,509222.9,0.0
1774508700000.0,635.51,635.51,634.5,635.37,1745.23,509222.9,0.0
1774509000000.0,635.38,635.45,634.68,634.68,850.18,509222.9,0.0
1774509300000.0,634.69,635.16,634.67,634.93,524.39,509222.9,0.0
1774509600000.0,634.93,635.65,633.85,635.15,2310.46,509222.9,0.0
1774509900000.0,635.14,635.3,634.56,634.78,1302.67,509222.9,0.0
1774510200000.0,634.78,635.05,634.09,634.93,3367.88,509222.9,0.0
1774510500000.0,634.93,635.39,634.74,635.38,1460.45,509222.9,0.0
1774510800000.0,635.38,635.8,635.01,635.2,1069.19,509222.9,0.0
1774511100000.0,635.19,635.58,635.13,635.51,640.88,509222.9,0.0
1774511400000.0,635.52,635.81,635.37,635.79,1568.34,509222.9,0.0
1774511700000.0,635.79,635.8,635.34,635.39,609.63,509222.9,0.0
1774512000000.0,635.39,635.43,634.58,634.93,2982.91,509222.9,0.0
1774512300000.0,634.92,635.44,634.46,634.57,1956.29,509222.9,0.0
1774512600000.0,634.57,634.59,633.44,633.53,1894.42,509222.9,0.0
1774512900000.0,633.54,633.93,633.19,633.43,3016.13,509222.9,0.0
1774513200000.0,633.43,633.79,632.99,633.2,1139.48,509222.9,0.0
1774513500000.0,633.2,633.43,632.95,632.96,1082.78,509222.9,0.0
1774513800000.0,632.95,633.35,632.71,633.25,1197.08,509222.9,0.0
1774514100000.0,633.26,633.61,632.8,632.91,976.05,509222.9,0.0
1774514400000.0,632.91,633.28,632.48,633.07,1474.52,509222.9,0.0
1774514700000.0,633.07,633.92,632.9,633.3,1025.37,509222.9,0.0
1774515000000.0,633.3,633.77,633.2,633.56,745.06,509222.9,0.0
1774515300000.0,633.55,634.04,633.45,633.55,925.36,509222.9,0.0
1774515600000.0,633.56,633.65,632.59,633.13,1685.35,509222.9,0.0
1774515900000.0,633.12,633.86,632.95,633.63,1275.93,509222.9,0.0
1774516200000.0,633.63,633.92,633.17,633.22,519.02,509222.9,0.0
1774516500000.0,633.22,633.56,632.39,633.01,1754.32,509222.9,0.0
1774516800000.0,633.01,633.64,633.01,633.4,772.14,509222.9,0.0
1774517100000.0,633.4,633.83,633.33,633.68,704.47,509222.9,0.0
1774517400000.0,633.68,633.68,628.12,628.82,25390.46,509222.9,0.0
1774517700000.0,628.83,630.05,628.66,628.79,4043.68,509222.9,0.0
1774518000000.0,628.79,629.89,628.73,629.57,2290.23,509222.9,0.0
1774518300000.0,629.57,629.76,629.14,629.23,1889.89,509222.9,0.0
1774518600000.0,629.23,630.28,629.23,630.04,1709.7,509222.9,0.0
1774518900000.0,630.04,630.23,629.95,629.96,679.33,509222.9,0.0
1774519200000.0,629.95,630.05,629.23,629.25,1443.91,509222.9,0.0
1774519500000.0,629.25,629.77,628.8,629.1,3001.88,509222.9,0.0
1774519800000.0,629.1,629.72,628.81,629.45,1298.03,509222.9,0.0
1774520100000.0,629.46,630.62,629.46,630.33,2834.05,509222.9,0.0
1774520400000.0,630.33,630.34,630.2,630.34,103.37,509222.9,0.0
